"SourceFile","AtlasPage","CellIndex","Row","Column","Width","Height","SHA256","CanonicalVisualSource","ExactDuplicate"
"0.png","1","1","1","1","32","32","AFD670DBF3E7F3DE57209D3AF8092246C352CCAAA54078B3B66F03ADF9363D5F","0.png","False"
"1.png","1","2","1","2","32","32","A57E11D3F6F58C512CB4BDFEB97325643DAF58E4BC5D8A76B15357E53A97491D","1.png","False"
"2.png","1","3","1","3","32","32","971C7FFEFCB7D7DE7DAA57CD4D801C66D8778206A6588C0FC4A7D075921AA86A","2.png","False"
"3.png","1","4","1","4","32","32","40BF1170848DF5B2B32BDFADD87E268D5A0293CAEFA33D029307FE1E1026714F","3.png","False"
"4.png","1","5","1","5","32","32","08EE36C66DC2C191C2755ACC29D63E2A674CDC36575155B3FE74A21A45C6E2CC","4.png","False"
"5.png","1","6","1","6","32","32","1F3180C8D9A047274559CF0F90EC749848DAF760D08D0566C38485906379D824","5.png","False"
"6.png","1","7","1","7","32","32","FEAB447234AD0393598687C9684A3A49FB99ADAE7D53B2444CE1C1B3E3A57B27","6.png","False"
"7.png","1","8","1","8","32","32","C03DD74F8B08ACD66CFF74519B35F6F7345D975ECA9176167E209992855C01A8","7.png","False"
"8.png","1","9","2","1","32","32","A0519303C7975DA5C822E94C7BDFCC77F9C814E02FDE9F9E4102E4B24F84BCAB","8.png","False"
"9.png","1","10","2","2","32","32","C48705C30BC632BA786F0C90FAC35CB55C738F24DD960A10621CC1EF5DEDD322","9.png","False"
"10.png","1","11","2","3","32","32","5CD95708F57217B0123A1D340A7BA09BCF07A339D1C6D0A7E4596F083F7EB9A4","10.png","False"
"11.png","1","12","2","4","32","32","0F270D0B0681998C4266BEA22C63524363212171C9C38854AD67FDEB0CC160F2","11.png","False"
"12.png","1","13","2","5","32","32","0FEDD0DF1FC0D78FBB92015C1C31B03C0E79015EEE562B443357D9266FE2DD8E","12.png","False"
"13.png","1","14","2","6","32","32","358860ED4470B2F855CD18B30BB5DCC23825AF8F77FD1EA18D746F11F85958D3","13.png","False"
"14.png","1","15","2","7","32","32","7661E67B3A4270380071119D77EBA3D1E11A61F933950CA6544E25A636E2702E","14.png","False"
"15.png","1","16","2","8","32","32","E281FC07FBD3CA2FC2D8A5D6613C918B216D087EB878EFB5947EB138A82DED8B","15.png","False"
"16.png","1","17","3","1","32","32","473AB9B19E070668AC36C46B9278C5A8AEBA9E3D12D3D27C463D4B93BF248239","16.png","False"
"17.png","1","18","3","2","32","32","7661E67B3A4270380071119D77EBA3D1E11A61F933950CA6544E25A636E2702E","14.png","True"
"18.png","1","19","3","3","32","32","EE5BA4094C73B8A331922151D69A8F97235D3EA34EE16E09DE68A604492681DE","18.png","False"
"19.png","1","20","3","4","32","32","971C7FFEFCB7D7DE7DAA57CD4D801C66D8778206A6588C0FC4A7D075921AA86A","2.png","True"
